NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CTII.INTL.INV.HK.,HK0308001558,,,,,,,,,,,,,,,,,,,20420.22,31417.46,30356.87,9049.94,15023.52,11778.23,26228.86,27882.6,
SHANGHAI INDUSTRIAL HOLDINGS,HK0363006039,,,,,,,,,,,,,,,,,,,6870.0,6064.0,17489.0,11409.0,106612.0,238468.21,428238.27,389874.72,
HONG KONG EXCHANGES AND CLEARING,HK0388045442,,,,,,,,,,26.0,1124.0,432.0,1101.0,1016.0,116.0,36.0,52.0,38.0,85.0,38.0,33.0,166.0,102.0,307.0,288.0,60.0,
BEIJING ENTERPRISES HOLDINGS,HK0392044647,,,,,,,,,,,,,,,,,,,,,692854.63,709107.1,449276.1,596288.9,707629.6,705333.74,
DAH SING FINANCIAL HDG.,HK0440001847,,,,,,,,,,,,,,,,,,,,,,,13.0,94.0,96.0,96.0,
CHINA OVERSEAS LAND INVESTMENT,HK0688002218,,,,,,,,,,,,,,,,,,1906.0,1773.0,25589.0,43425.0,21960.0,30199.0,25213.0,10376.0,8162.0,
LINK REAL ESTATE INVESTMENT TRUST,HK0823032773,,,,,,,,,,,,,,,0.0,0.0,,,,,2730.0,3342.0,3061.0,7634.0,14268.0,8712.0,7594.0
CHINA RESOURCES POWER,HK0836012952,,,,,,,,,,,,,,,,,,,,,,,153036900.0,152569700.0,139392600.0,146391900.0,
CHIN.PWR.INTDVT.,HK2380027329,,,,,,,,,,,,,,,,,,,,,,46957000.0,53691340.0,61730728.0,48805239.0,49876065.0,
BOC HONG KONG HOLDINGS,HK2388011192,,,,,,,,,,,,,,,,,280.0,277.0,324.0,333.0,350.0,629.0,577.0,575.0,548.0,517.0,
SEAGATE TECHNOLOGY HOLDINGS,IE00BKVD2N49,,,,,,,,,,36840.0,46216.0,355608.0,327155.0,402893.0,318124.0,317756.0,302387.0,281108.0,298744.0,262343.0,281786.0,309996.0,355206.0,326718.0,279920.0,274114.0,
NIPPON BUILDING FUND,JP3027670003,,,,,,,,,,,,,,,,,13884.0,7371.0,8218.0,7701.0,13858.0,12902.0,11756.0,4819.0,4354.0,3897.0,
JAPAN REAL ESTATE INV.,JP3027680002,,,,,,,,,,,,,,,6348.0,5895.0,6154.0,6767.0,6504.0,,3208.0,3208.0,3304.0,3011.0,2785.0,2659.0,2627.0
JAPAN METROPOLITAN FUND INVESTMENT REIT,JP3039710003,,,,,,,,,,,,,,,,,,,,,,6238.0,5608.0,5135.0,5542.0,5302.0,
JAPAN PRIME REALTY INV.,JP3040890000,,,,,,,,,,,,,,,,,,3973.0,3213.0,3228.0,1331.0,1293.0,1212.0,1233.0,1440.0,,
AISIN,JP3102000001,,,,,,,,,,,,,,,,,,,,,790000.0,630904.0,577100.0,602011.0,533137.0,525133.0,498805.0
ACOM,JP3108600002,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1193.0,1313.0,1317.0
ASAHI KASEI,JP3111200006,,,,,,,,,,,4904598.0,,,,,,,,2840000.0,3100000.0,3180000.0,2961401.0,2906814.0,3080947.0,2853917.0,2386214.0,
AGC,JP3112000009,,,,,,,,,,,8020000.0,,9220000.0,5480000.0,5270000.0,5320000.0,4930000.0,5290000.0,5074000.0,5300000.0,6200000.0,6469000.0,6880000.0,5968000.0,5852000.0,5781404.0,
ASAHI GROUP HOLDINGS,JP3116000005,,,,,,,,,,,241791.0,235300.0,258000.0,262000.0,,362581.0,360934.0,366914.0,360681.0,463000.0,492000.0,463000.0,494000.0,492000.0,476000.0,462681.0,
ASICS,JP3118000003,,,,,,,,,,2344.0,2286.0,2231.0,5563.0,6116.0,6010.0,6236.0,5664.0,4835.0,4461.0,4002.0,3848.0,2873.0,3082.0,3034.0,3116.0,3262.0,
